Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
4.144,1.035,0.9323430105482514,5.763,1.46,2.262,0.8655,0.4785,1.335,4.937,2.59,0.682,5.601,5.458,2.2070285842123547
4.0,1.077,0.6278284367558978,5.674,1.34,2.321,0.7947,0.4102,1.404,5.135,2.617,0.631,5.24,5.4,2.1693107030629917
4.26,1.172,0.8117181239767651,5.496,1.383,2.253,0.8069,0.3821,1.479,5.106,2.795,0.609,5.458,5.375,2.2128098436647305
4.265,1.145,0.8842617620547215,5.806,1.355,2.28,0.7251,0.3418,1.382,4.994,2.731,0.649,5.544,5.421,2.2131801468378938
4.211,1.066,1.0082607713275085,5.576,1.392,2.218,0.8862,0.5481,1.359,5.184,2.683,0.59,5.691,5.354,2.2267967309439594
3.998,1.022,0.5696248201584674,5.742,1.368,2.38,0.7056,0.4529,1.243,5.015,2.778,0.698,5.171,5.476,2.1643437350132055
3.947,1.051,0.6961544214572288,5.826,1.326,2.264,0.8057,0.5505,1.373,5.123,2.716,0.396,5.321,5.134,2.1728628684547693
4.224,1.068,0.8808876393534216,5.73,1.364,2.257,0.7214,0.498,1.453,5.215,2.733,0.42,5.54,5.161,2.2136906366127853
3.976,1.061,0.5282918170675381,5.8,1.39,2.283,0.7727,0.4358,1.368,5.227,2.777,0.677,5.122,5.452,2.191315984755628
4.191,0.9778,0.6868755840286529,5.581,1.256,2.136,0.8179,0.4285,1.205,5.2,2.726,0.623,5.31,5.391,2.1524229653357208
3.962,1.077,0.9053500289378489,5.802,1.384,2.234,0.6726,0.4089,1.465,5.131,2.842,0.727,5.569,5.509,2.2175708357448207
3.995,1.051,0.8032828172235146,5.458,1.273,2.344,0.6592,0.4675,1.425,4.933,2.999,0.129,5.448,4.832,2.128081901435293
3.96,0.8838,0.5738424735350927,5.793,1.283,2.135,0.6921,0.5042,1.207,5.046,2.773,0.337,5.176,5.068,2.0989952061279245
4.021,1.074,0.8218404920806658,5.677,1.443,2.18,0.7007,0.448,1.292,4.972,2.784,0.453,5.47,5.199,2.155545041006722
4.207,1.001,0.6598826024182503,5.837,1.262,2.181,0.7788,0.3589,1.346,4.966,2.947,0.825,5.278,5.62,2.197465216868187
4.136,1.101,0.9382477252755267,5.519,1.3,2.136,0.7019,0.6531,1.296,5.165,2.784,0.601,5.608,5.366,2.19427064377296
3.888,0.8997,0.646386111613049,5.693,1.283,2.118,0.7849,0.5627,1.328,5.128,2.838,0.302,5.262,5.028,2.1226405093010876
4.0,1.084,0.5190129796389621,5.505,1.215,2.072,0.7422,0.5017,1.309,5.206,2.827,0.589,5.111,5.353,2.1308260816365796
3.9,0.9216,0.5755295348857427,5.461,1.277,2.295,0.7336,0.2075,1.265,5.049,2.783,0.473,5.178,5.222,2.078435794573812
